date,home_team,score,away_team
27-09-2023,Lazio,2 - 0,Torino
02-10-2023,Torino,0 - 0,Verona
07-10-2023,Juventus,2 - 0,Torino
21-10-2023,Torino,0 - 3,Inter
28-10-2023,Lecce,0 - 1,Torino
06-11-2023,Torino,2 - 1,Sassuolo
11-11-2023,Monza,1 - 1,Torino
27-11-2023,Bologna,2 - 0,Torino
04-12-2023,Torino,3 - 0,Atalanta
10-12-2023,Frosinone,0 - 0,Torino
16-12-2023,Torino,1 - 0,Empoli
23-12-2023,Torino,1 - 1,Udinese
29-12-2023,Fiorentina,1 - 0,Torino
20-08-2023,Udinese,0 - 3,Juventus
28-08-2023,Salernitana,1 - 1,Udinese
02-09-2023,Udinese,0 - 0,Frosinone
17-09-2023,Cagliari,0 - 0,Udinese
24-09-2023,Udinese,0 - 2,Fiorentina
27-09-2023,Napoli,4 - 1,Udinese
01-10-2023,Udinese,2 - 2,Genoa
06-10-2023,Empoli,0 - 0,Udinese
23-10-2023,Udinese,1 - 1,Lecce
29-10-2023,Monza,1 - 1,Udinese
04-11-2023,Milan,0 - 1,Udinese
12-11-2023,Udinese,1 - 1,Atalanta
26-11-2023,Roma,3 - 1,Udinese
03-12-2023,Udinese,3 - 3,Verona
09-12-2023,Inter,4 - 0,Udinese
17-12-2023,Udinese,2 - 2,Sassuolo
23-12-2023,Torino,1 - 1,Udinese
30-12-2023,Udinese,? - ?,Bologna
19-08-2023,Empoli,0 - 1,Verona
26-08-2023,Verona,2 - 1,Roma
01-09-2023,Sassuolo,3 - 1,Verona
18-09-2023,Verona,0 - 0,Bologna
23-09-2023,Milan,1 - 0,Verona
27-09-2023,Verona,0 - 1,Atalanta
02-10-2023,Torino,0 - 0,Verona
08-10-2023,Frosinone,2 - 1,Verona
21-10-2023,Verona,1 - 3,Napoli
28-10-2023,Juventus,1 - 0,Verona
05-11-2023,Verona,1 - 3,Monza
10-11-2023,Genoa,1 - 0,Verona
27-11-2023,Verona,2 - 2,Lecce
03-12-2023,Udinese,3 - 3,Verona
09-12-2023,Verona,1 - 1,Lazio
17-12-2023,Fiorentina,1 - 0,Verona
23-12-2023,Verona,2 - 0,Cagliari
30-12-2023,Verona,? - ?,Salernitana
